primaryKey,AB_Updated
125:20140529ProjectCategorizations_ValuesOnly,
125:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Many species have strong habitat preferences that directly influence population viability. For successful reintroduction of threatened populations that rely on habitat structures the correct placement of artificial structures is also important to population persistence. In this paper we present a hierarchical approach to the problem of translocating animals that rely on permanent habitat structures in which we first use population dynamics data to identify areas of suitable habitat and then identify optimal configuration for habitat structures. We use data collected from a non endangered conspecific population of the endangered riparian woodrat (Neotoma fuscipes riparia) to examine the degree to which the distribution of dens in translocation sites might influence the likelihood that animals persist in their new environment. We characterize the habitats in which dens occur analyze their spatial clustering and compare them to temporal changes in population status for sex and age classes. We compare the potential efficacy of translocation efforts using spatial analysis versus solely habitat based approaches and identify the optimal spatial configuration of dens that should be considered in this translocation effort. We found that patterns of habitat use were positively correlated with overstorey cover and animal weight was positively correlated with understorey cover. Woodrats appear to select den locations on the basis of understorey cover but also benefit from dense overstorey cover and distance to nearest tree. Our results suggest that in translocation efforts artificial dens should be placed in clusters within a radius of 15 m as values above and below this value showed negative correlations with body mass. Translocations should occur after reproductive events which occur in April and August for woodrats in southern California. Our analyses provide practical guidelines in determining appropriate timing and spacing for translocation events in the context of animal condition minimizing disease transmission and reproduction. 
1269:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, We use focal species analysis to apply a graph theoretic approach to landscape connectivity in the Coastal Plain of North Carolina. In doing so we demonstrate the utility of a mathematical graph as an ecological construct with respect to habitat connectivity. Graph theory is a well established mainstay of information technology and is concerned with highly efficient network flow. It employs fast algorithms and compact data structures that are easily adapted to landscape level focal species analysis. American mink (Mustela vison) and prothonotary warblers (Protonotaria citrea) share the same habitat but have different dispersal capabilities and therefore provide interesting comparisons on connections in the landscape. We built graphs using GIS coverages to define habitat patches and determined the functional distance between the patches with least cost path modeling. Using graph operations concerned with edge and node removal we found that the landscape is fundamentally connected for mink and fundamentally unconnected for prothonotary warblers. The advantage of a graph theoretic approach over other modeling techniques is that it is a heuristic framework which can be applied with very little data and improved from the initial results. We demonstrate the use of graph theory in a metapopulation context and suggest that graph theory as applied to conservation biology can provide leverage on applications concerned with landscape connectivity. 
1278:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Multilocus genotypes using nine DNA microsatellite loci provided an effective and permanent individual identification mark for lemon sharks Negaprion brevirostris the first example of genetic tagging for any elasmobranch species. The double tagging provided by microsatellites afforded a means to determine passive integrated transponder (PIT) tag shed rate in lemon sharks. Of 388 sharks that were recaptured 47 (12 1 PeRcEnT) had shed their PIT tag. 
1312:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, We examined how corridors and patch shape affect foraging by the oldfield mouse (Peromyscus polionotus) by deploying foraging trays and live traps in experimental landscapes with 3 different patch types: patches connected with a corridor unconnected patches with projecting corridorlike portions (  winged   patches) and unconnected rectangular patches. Corridors did not lead to different levels of activity of P. polionotus among the 3 patch types. Rather corridors influenced activity by changing patch shape: foraging in seed trays and total number of captures of P. polionotus tended to be greater at the patch center than at the patch edge but only in connected and winged patches where corridors or wings increased the amount of patch edge relative to the amount of core habitat in the patch. P. polionotus avoided open microhabitats near the patch edge in winged and connected patches but not open microhabitats near the patch interior suggesting that predation risk caused shifts in foraging near edges in connected and winged patches. Foraging in corridors and wings was generally low suggesting that both are high risk habitats where predation risk is not ameliorated by proximity to vegetative cover. By changing patch shape corridors caused changes in within patch activity of P. polionotus changing foraging patterns and potentially altering the dynamics of P. polionotus and the seeds they consume. 
1313:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Habitat degradation is the slow and often subtle deterioration in habitat quality that accompanies human activities through increases in road density pesticide use hunting pressure etc. Such degradation is of particular concern in fragmented habitats where economic or jurisdictional boundaries rather than ecological ones determine the level of exploitation adjoining habitat patches endure. To examine the consequences habitat degradation might have on species interactions we posited a patch of pristine habitat surrounded by   matrix   habitat whose degradation level was variable. Using a coupled pair of diffusive Lotka Volterra competition equations with Robin (mixed) boundary conditions we modeled the dynamics of two competing species inhabiting the pristine patch and incorporated matrix degradation through a tunable   hostility   parameter representing species mortality rates in the matrix. We found that the numerical range of competition coefficients over which one species is the competitive dominant and the other inferior may grow or shrink as matrix quality deteriorates. In some cases degradation of the exterior habitat would bring about a complete competitive reversal inside the preserve. This result wherein a formerly inferior species supplants a formerly dominant one even inside the   protected   remnant patch itself has policy implications for both nature reserve design and management of human activities outside park boundaries. 
133:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Crop pollination by bees and other animals is an essential ecosystem service. Ensuring the maintenance of the service requires a full understanding of the contributions of landscape elements to pollinator populations and crop pollination. Here the first quantitative model that predicts pollinator abundance on a landscape is described and tested. Using information on pollinator nesting resources floral resources and foraging distances the model predicts the relative abundance of pollinators within nesting habitats. From these nesting areas it then predicts relative abundances of pollinators on the farms requiring pollination services. Model outputs are compared with data from coffee in Costa Rica watermelon and sunflower in California and watermelon in New Jersey Pennsylvania (NJPA). Results from Costa Rica and California comparing field estimates of pollinator abundance richness or services with model estimates are encouraging explaining up to 80 PeRcEnT of variance among farms. However the model did not predict observed pollinator abundances on NJPA so continued model improvement and testing are necessary. The inability of the model to predict pollinator abundances in the NJPA landscape may be due to not accounting for fine scale floral and nesting resources within the landscapes surrounding farms rather than the logic of our model. The importance of fine scale resources for pollinator service delivery was supported by sensitivity analyses indicating that the models predictions depend largely on estimates of nesting and floral resources within crops. Despite the need for more research at the finer scale the approach fills an important gap by providing quantitative and mechanistic model from which to evaluate policy decisions and develop land use plans that promote pollination conservation and service delivery. 
1343:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Simple analytical models assuming homogeneous space have been used to examine the effects of habitat loss and fragmentation on metapopulation size. The models predict an extinction threshold a critical amount of suitable habitat below which the metapopulation goes deterministically extinct. The consequences of non random loss of habitat for species with localized dispersal have been studied mainly numerically. In this paper we present two analytical approaches to the study of habitat loss and its metapopulation dynamic consequences incorporating spatial correlation in both metapopulation dynamics as well as in the pattern of habitat destruction. One approach is based on a measure called metapopulation capacity given by the dominant eigenvalue of a   landscape   matrix which encapsulates the effects of landscape structure on population extinctions and colonizations. The other approach is based on pair approximation. These models allow us to examine analytically the effects of spatial structure in habitat loss on the equilibrium metapopulation size and the threshold condition for persistence. In contrast to the pair approximation based approaches the metapopulation capacity based approach allows us to consider species with long as well as short dispersal range and landscapes with spatial correlation at different scales. The two methods make dissimilar assumptions but the broad conclusions concerning the consequences of spatial correlation in the landscape structure are the same. Our results show that increasing correlation in the spatial arrangement of the remaining habitat increases patch occupancy that this increase is more evident for species with short range than long range dispersal and that to be most beneficial for metapopulation size the range of spatial correlation in landscape structure should be at least a few times greater than the dispersal range of the species. 
1345:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, There are two main types of metapopulation models. Spatially implicit models are analytically tractable but neglect spatial heterogeneities. Spatially explicit models are more realistic but too complex. In this paper I build a bridge between both approximations. I derive a new metapopulation model using a well known technique in population genetics. Spatial heterogeneities are captured by an aggregate statistical measure of spatial correlation When this correlation is zero space is homogenesus the model becomes the well known Levins model. As spatial correlation increases equilibrium patch occupancy decreases from what would be expected under the spatially homogeneous assumption. I proceed by testing how well spatial complexities from a spatially explicit simulation can be encapsulated by such an aggregate statistical measure. 
1347:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, We present a mathematical framework that combines extinction colonization dynamics with the dynamics of patch succession. We draw an analogy between the epidemiological categorization of individuals (infected susceptible latent and resistant) and the patch structure of a spatially heterogeneous landscape (occupied suitable empty suitable occupied unsuitable and empty unsuitable). This approach allows one to consider life history attributes that influence persistence in patchy environments  longevity colonization ability) in concert with extrinsic processes  disturbances succession) that lead to spatial heterogeneity in patch suitability. It also allows the incorporation of seed banks and other dormant life forms thus broadening patch occupancy dynamics to include sink habitats. We use the model to investigate how equilibrium patch occupancy is influenced by four critical parameters: colonization rate? extinction rate disturbance frequency and the rate of habitat succession. This analysis leads to general predictions about how the temporal scaling of patch succession and extinction colonization dynamics influences long term persistence. We apply the model to herbaceous early successional species that inhabit open patches created by periodic disturbances. We predict the minimum disturbance frequency required far viable management of such species in the Florida scrub ecosystem. 
134:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Productivity of many crops benefits from the presence of pollinating insects so a decline in pollinator abundance should compromise global agricultural production. Motivated by the lack of accurate estimates of the size of this threat we quantified the effect of total loss of pollinators on global agricultural production and crop production diversity. The change in pollinator dependency over 46 years was also evaluated considering the developed and developing world separately. Using the extensive FAO dataset yearly data were compiled for 1961 2006 on production and cultivated area of 87 important crops which we classified into five categories of pollinator dependency. Based on measures of the aggregate effect of differential pollinator dependence the consequences of a complete loss of pollinators in terms of reductions in total agricultural production and diversity were calculated. An estimate was also made of the increase in total cultivated area that would be required to compensate for the decrease in production of every single crop in the absence of pollinators. The expected direct reduction in total agricultural production in the absence of animal pollination ranged from 3 to 8 PeRcEnT with smaller impacts on agricultural production diversity. The percentage increase in cultivated area needed to compensate for these deficits was several times higher particularly in the developing world which comprises two thirds of the land devoted to crop cultivation globally. Crops with lower yield growth tended to have undergone greater expansion in cultivated area. Agriculture has become more pollinator dependent over time and this trend is more pronounced in the developing than developed world. We propose that pollination shortage will intensify demand for agricultural land a trend that will be more pronounced in the developing world. This increasing pressure on supply of agricultural land could significantly contribute to global environmental change. 
135:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Given a raster of environmental or habitat values representing a landscape we construct agglomerations of contiguous cells that constitute habitat   patches.   This land allocation problem has received inadequate attention in the academic literature and cannot be solved with commercial GIS packages. In our method each patch begins from an initial   seed   cell and continues to accrete neighboring cells until it reaches a desired total habitat value. This may be interpreted as reaching sufficient biological value to create a territory viable for the reproduction and survival of some demographic unit of a species  mating pair social group). This article presents a new method for generating identifying feasible patches. Depending on the type and variety of habitat and on user selected parameters patches can vary substantially in shape and size. A patch or territory alone would not be considered sufficient for conserving a species. The eventual use of the patches is as candidates for land units to be selected in order to form a reserve system. Patches should be very useful for conservation reserve planning because they build ecological knowledge directly into the spatial units that would be considered as building blocks for a reserve system. We present results of our patch building heuristic method for planning data from California. 
1361:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, A common approach used to estimate landscape resistance involves comparing correlations of ecological and genetic distances calculated among individuals of a species. However the location of sampled individuals may contain some degree of spatial uncertainty due to the natural variation of animals moving through their home range or measurement error in plant or animal locations. In this study we evaluate the ways that spatial uncertainty landscape characteristics and genetic stochasticity interact to influence the strength and variability of conclusions about landscape genetics relationships. We used a neutral landscape model to generate 45 landscapes composed of habitat and non habitat varying in percent habitat aggregation and structural connectivity (patch cohesion). We created true and alternate locations for 500 individuals calculated ecological distances (least cost paths) and simulated genetic distances among individuals. We compared correlations between ecological distances for true and alternate locations. We then simulated genotypes at 15 neutral loci and investigated whether the same influences could be detected in simple Mantel tests and while controlling for the effects of isolation by distance using the partial Mantel test. Spatial uncertainty interacted with the percentage of habitat in the landscape but led to only small reductions in correlations. Furthermore the strongest correlations occurred with low percent habitat high aggregation and low to intermediate levels of cohesion. Overall genetic stochasticity was relatively low and was influenced by landscape characteristics. 
1363:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Forest bird species exhibit noticeable seasonal behavioral changes that might lead to contrasting effects of landscape pattern upon species abundance and performance. We assessed if the effect of patch and habitat attributes on the landscape use of thorn tailed rayaditos (Aphrastura spinicauda) a forest bird in a relict patchy forest in northern Chile varied temporally in association with changes in the behavior of individuals linked to breeding vs. non breeding conditions. We also assessed the relationship between nest success and patch and habitat attributes as nest success might be associated to the density rayaditos during the breeding season. We found that density of rayaditos was affected by patch size and functional connectivity but not by habitat structure and that the magnitude of the effect of patch size was greater during the non breeding season thus supporting the existence of a temporally variable effect of landscape pattern. Similarly the nest success of rayaditos was positively affected by functional connectivity and negatively by structural connectivity. We hypothesize that these results emerged from the interaction among territorial behavior resource limitation and predation risk. Despite the variable intensity of the effect of patch size upon density however this landscape attribute in addition to connectivity is essential for the persistence of rayaditos at this relict patchy forest landscapes. 
1364:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, In fragmented landscapes plant species persistence depends on functional connectivity in terms of pollen flow to maintain genetic diversity within populations and seed dispersal to re colonize habitat patches following local extinction. Connectivity in plants is commonly modeled as a function of the physical distance between patches without testing alternative dispersal vectors. In addition pre and post dispersal processes such as seed production and establishment are likely to affect patch colonization rates. Here we test alternative models of potential functional connectivity with different assumptions on source patch effects (patch area and species occupancy) and dispersal (relating to distance among patches matrix composition and sheep grazing routes) against empirical patch colonization rates at the community level (actual functional connectivity) accounting for post dispersal effects in terms of structural elements providing regeneration niches for establishment. Our analyses are based on two surveys in 1989 and in 2009 of 48 habitat specialist plants in 62 previously abandoned calcareous grassland patches in the Southern Franconian Alb in Bavaria Germany. The best connectivity model S i as identified by multi model inference combined distance along sheep grazing routes including consistently and intermittently grazed patches with mean species occupancy in 1989 as a proxy for pre dispersal effects. Community level patch colonization rates depended to equal degrees on connectivity and post dispersal process. Our study highlights that actual functional connectivity of calcareous grassland communities cannot be approximated by structural connectivity based on physical distance alone and modeling of functional connectivity needs to consider pre and post dispersal processes. 
1365:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Pattern in ecological landscapes is often the result of different processes operating at different scales. Neutral landscape models were introduced in landscape ecology to differentiate patterns that are the result of simple random processes from patterns that arise from more complex ecological processes. Recent studies have used increasingly complex neutral models that incorporate contagion and other constraints on random patterns as well as using neutral landscapes as input to spatial simulation models. Here I consider a common mathematical framework based on spectral transforms that represents all neutral landscape models in terms of sets of spectral basis functions. Fractal and multi fractal models are considered as well as models with multiple scaling regions and anisotropy. All of the models considered are shown to be variations on a basic theme: a scaling relation between frequency and amplitude of spectral components. Two example landscapes examined showed long range correlations (distances up to 1000 km) consistent with fractal scaling. 
1376:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, The distribution of organisms can be regulated by local environmental factors and regional processes such as dispersal. Here we review recent work on the role of dispersal for generating population and community structure in freshwater zooplankton. We examine evidence for different mechanisms of dispersal among lakes for the effects of dispersal limitations on populations and communities and for the effects of spatial scale on dispersal rates. Zooplankton move via human or animal vectors flowing surface waters and wind; the relative importance of the different modes of transport is poorly understood. Several lines of evidence suggest that dispersal among lakes separated over short spatial scales ( 10 km) is sufficiently rapid that local interactions should limit species diversity and composition more than the supply of colonists. However dispersal limitation over broad scales (tens to thousands of kilometers) might constrain geographic ranges and influence community structure. The current explosion in the incidence of exotic species indicates that such global or continental scale dispersal was limiting in the past. The spread of exotic species also provides opportunities to study the scale dependence of zooplankton dispersal. We show how patterns of range expansion can be used to estimate the change in invasion likelihood with distance to a source population. Such dispersal functions provide a crucial link between small scale experimental studies and broad scale geographic patterns. 
1413:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, A major challenges facing landscape geneticists studying adaptive variation is to include all the environmental variables that might be correlated with allele frequencies across the genome. One way of identifying loci that are possibly under selection is to see which ones are associated with environmental gradient or heterogeneity. Since it is difficult to measure all environmental variables one may take advantage of the spatial nature of environmental filters to incorporate the effect of unaccounted environmental variables in the analysis. Assuming that the spatial signature of these variables is broad scaled broad scale Morans eigenvector maps (MEM) can be included as explanatory variables in the analysis as proxies for unmeasured environmental variables. We applied this approach to two data sets of the alpine plant Arabis alpina. The first consisted of 140 AFLP loci sampled at 130 sites across the European Alps (large scale). The second one consisted of 712 AFLP loci sampled at 93 sites (regional scale) in three mountain massifs (local scale) of the French Alps. For each scale we regressed the frequencies of each AFLP allele on a set of eco climatic and MEM variables as predictors. Twelve (large scale) and 11 PeRcEnT (regional scale) of all loci were detected as significantly correlated to at least one of the predictors (R(adj)(2)   0.5) and except for one massif 17 PeRcEnT at the local scale. After accounting for spatial effects temperature and precipitation were the two major determinants of allele distributions. Our study shows how MEM models can account for unmeasured environmental variation in landscape genetics models. 
1414:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Analyses of historical samples can provide invaluable information on changes to the genetic composition of natural populations resulting from human activities. Here we analyse 21 microsatellite loci in historical (archived scales from 1927 to 1956) and contemporary samples of brown trout (Salmo trutta) from six neighbouring rivers in Denmark to compare the genetic structure of wild populations before and after population declines and stocking with nonlocal strains of hatchery trout. We show that all populations have been strongly affected by stocking with admixture proportions ranging from 14 to 64 PeRcEnT. Historical population genetic structure was characterized by isolation by distance and by positive correlations between historical effective population sizes and habitat area within river systems. Contemporary population genetic structure still showed isolation by distance but also reflected differences among populations in hatchery trout admixture proportions. Despite significant changes to the genetic composition within populations over time dispersal rates among populations were roughly similar before and after stocking. We also assessed whether population declines or introgression by hatchery strain trout should be the most significant conservation concern in this system. Based on theoretical considerations we argue that population declines have had limited negative effects for the persistence of adaptive variation but admixture with hatchery trout may have resulted in reduced local adaptation. Collectively our study demonstrates the usefulness of analysing historical samples for identifying the most important consequences of human activities on the genetic structure of wild populations. 
1415:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Evolutionary processes are routinely modelled using ideal Wright Fisher populations of constant size N in which each individual has an equal expectation of reproductive success. In a hypothetical ideal population variance in reproductive success (V(k)) is binomial and effective population size (N(e)) equals N. However in any actual implementation of the Wright Fisher model (e. g. in a computer) V(k) is a random variable and its realized value in any given replicate generation (V(k) ) only rarely equals the binomial variance. Realized effective size (N(e) ) thus also varies randomly in modelled ideal populations and the consequences of this have not been adequately explored in the literature. Analytical and numerical results show that random variation V(k) and N(e) can seriously distort analyses that evaluate precision or otherwise depend on the assumption that N(e) is constant. We derive analytical expressions for Var(V(k)) 4(2N 1)(N 1) N(3) and Var(N(e)) N(N 1) (2N 1) approximate to N 2 in modelled ideal populations and show that for a genetic metric G equals f(N(e)) Var((G) over cap) has two components: Var(Gene) (due to variance across replicate samples of genes given a specific N(e) ) and Var(Demo) (due to variance N(e) ). Var((G) over cap) is higher than it would be with constant Ne equals N as implicitly assumed by many standard models. We illustrate this with empirical examples based on F (standardized variance of allele frequency) and r(2) (a measure of linkage disequilibrium). Results demonstrate that in computer models that track multilocus genotypes methods of replication and data analysis can strongly affect consequences of variation in N(e) . These effects are more important when sampling error is small (large numbers of individuals loci and alleles) and with relatively small populations (frequently modelled by those interested in conservation). 
1416:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Landscape features exist at multiple spatial and temporal scales and these naturally affect spatial genetic structure and our ability to make inferences about gene flow. This article discusses how decisions about sampling of genotypes (including choices about analytical methods and genetic markers) should be driven by the scale of spatial genetic structure the time frame that landscape features have existed in their current state and all aspects of a species life history. Researchers should use caution when making inferences about gene flow especially when the spatial extent of the study area is limited. The scale of sampling of the landscape introduces different features that may affect gene flow. Sampling grain should be smaller than the average home range size or dispersal distance of the study organism and for raster data existing research suggests that simplifying the thematic resolution into discrete classes may result in low power to detect effects on gene flow. Therefore the methods used to characterize the landscape between sampling sites may be a primary determinant for the spatial scale at which analytical results are applicable and the use of only one sampling scale for a particular statistical method may lead researchers to overlook important factors affecting gene flow. The particular analytical technique used to correlate landscape data and genetic data may also influence results; common landscape genetic methods may not be suitable for all study systems particularly when the rate of landscape change is faster than can be resolved by common molecular markers. 
1417:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Landscape genetics has seen rapid growth in number of publications since the term was coined in 2003. An extensive literature search from 1998 to 2008 using keywords associated with landscape genetics yielded 655 articles encompassing a vast array of study organisms study designs and methodology. These publications were screened to identify 174 studies that explicitly incorporated at least one landscape variable with genetic data. We systematically reviewed this set of papers to assess taxonomic and temporal trends in: (i) geographic regions studied; (ii) types of questions addressed; (iii) molecular markers used; (iv) statistical analyses used; and (v) types and nature of spatial data used. Overall studies have occurred in geographic regions proximal to developed countries and more commonly in terrestrial vs. aquatic habitats. Questions most often focused on effects of barriers and or landscape variables on gene flow. The most commonly used molecular markers were microsatellites and amplified fragment length polymorphism (AFLPs) with AFLPs used more frequently in plants than animals. Analysis methods were dominated by Mantel and assignment tests. We also assessed differences among journals to evaluate the uniformity of reporting and publication standards. Few studies presented an explicit study design or explicit descriptions of spatial extent. While some landscape variables such as topographic relief affected most species studied effects were not universal and some species appeared unaffected by the landscape. Effects of habitat fragmentation were mixed with some species altering movement paths and others unaffected. Taken together although some generalities emerged regarding effects of specific landscape variables results varied thereby reinforcing the need for species specific work. We conclude by: highlighting gaps in knowledge and methodology providing guidelines to authors and reviewers of landscape genetics studies and suggesting promising future directions of inquiry. 
1418:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Marine species frequently show weak and or complex genetic structuring that is commonly dismissed as chaotic genetic patchiness and ecologically uninformative. Here using three datasets that individually feature weak chaotic patchiness we demonstrate that combining inferences across species and incorporating environmental data can greatly improve the predictive value of marine population genetics studies on small spatial scales. Significant correlations in genetic patterns of microsatellite markers among three species kelp bass Paralabrax clathratus Kellets whelk Kelletia kelletii and California spiny lobster Panulirus interruptus in the Southern California Bight suggest that slight differences in diversity and pairwise differentiation across sampling sites are not simply noise or chaotic patchiness but are ecologically meaningful. To test whether interspecies correlations potentially result from shared environmental drivers of genetic patterns we assembled data on kelp bed size sea surface temperature and estimates of site to site migration probability derived from a high resolution multi year ocean circulation model. These data served as predictor variables in linear models of genetic diversity and linear mixed models of genetic differentiation that were assessed with information theoretic model selection. Kelp was the most informative predictor of genetics for all three species but ocean circulation also played a minor role for kelp bass. The shared patterns suggest a single spatial marine management strategy may effectively protect genetic diversity of multiple species. This study demonstrates the power of environmental and ecological data to shed light on weak genetic patterns and highlights the need for future focus on a mechanistic understanding of the links between oceanography ecology and genetic structure. 
1419:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Measures of genetic structure among individuals or populations collected at different spatial locations across a landscape are commonly used as surrogate measures of functional  demographic or genetic) connectivity. In order to understand how landscape characteristics influence functional connectivity resistance surfaces are typically created in a raster GIS environment. These resistance surfaces represent hypothesized relationships between landscape features and gene flow and are based on underlying biological functions such as relative abundance or movement probabilities in different land cover types. The biggest challenge for calculating resistance surfaces is assignment of resistance values to different landscape features. Here we first identify study objectives that are consistent with the use of resistance surfaces and critically review the various approaches that have been used to parameterize resistance surfaces and select optimal models in landscape genetics. We then discuss the biological assumptions and considerations that influence analyses using resistance surfaces such as the relationship between gene flow and dispersal how habitat suitability may influence animal movement and how resistance surfaces can be translated into estimates of functional landscape connectivity. Finally we outline novel approaches for creating optimal resistance surfaces using either simulation or computational methods as well as alternatives to resistance surfaces  network and buffered paths). These approaches have the potential to improve landscape genetic analyses but they also create new challenges. We conclude that no single way of using resistance surfaces is appropriate for every situation. We suggest that researchers carefully consider objectives important biological assumptions and available parameterization and validation techniques when planning landscape genetic studies. 
1420:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Pollen dispersal is a critical process that shapes genetic diversity in natural populations of plants. Estimating the pollen dispersal curve can provide insight into the evolutionary dynamics of populations and is essential background for making predictions about changes induced by perturbations. Specifically we would like to know whether the dispersal curve is exponential thin tailed (decreasing faster than exponential) or fat tailed (decreasing slower than the exponential). In the latter case rare events of long distance dispersal will be much more likely. Here we generalize the previously developed TWOGENER method assuming that the pollen dispersal curve belongs to particular one or two parameter families of dispersal curves and estimating simultaneously the parameters of the dispersal curve and the effective density of reproducing individuals in the population. We tested this method on simulated data using an exponential power distribution under thin tailed exponential and fat tailed conditions. We find that even if our estimates show some bias and large mean squared error (MSE) we are able to estimate correctly the general trend of the curve thin tailed or fat tailed and the effective density. Moreover the mean distance of dispersal can be correctly estimated with low bias and MSE even if another family of dispersal curve is used for the estimation. Finally we consider three case studies based on forest tree species. We find that dispersal is fat tailed in all cases and that the effective density estimated by our model is below the measured density in two of the cases. This latter result may reflect the difficulty of estimating two parameters or it may be a biological consequence of variance in reproductive success of males in the population. Both the simulated and empirical findings demonstrate the strong potential of TWOGENER for evaluating the shape of the dispersal curve and the effective density of the population (d(e)). 
1421:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Pollen is the dominant vector of gamete exchange for most temperate tree species. Because pollen movement influences the creation maintenance and erosion of genetic structure in adult populations it is important to understand what factors influence the process of pollen movement. Isolation by distance in pollen donor populations can create highly structured pollen polls by increased sampling of local fathers. Extrinsic factors such as the intervening vegetative structure and local pollen donor densities can also influence the genetic composition of local. pollen pools. Using paternally inherited chloroplast microsatellite markers we examined the structure and diversity of pollen pools in Pinus echinata Mill. in southern Missouri USA. Our analysis is based on a multivariate AMOVA analysis of stands (approximate to1 ha; six per region) nested within regions (approximate to 800 ha; four each). Significant multilocus structure of the pollen pool within regions (phi (SR) equals 0.095) but not among regions (phi (RT) equals 0.010) indicates that pollen movement is relatively restricted. Furthermore the significant correlation between pairwise genetic and physical distances (Mantel correlation; rho equals 0.32) provided support for the isolation by distance hypothesis. Our results indicated that availability of pollen donors did not affect diversity of the pollen pool measured by the number of unique multilocus genotypes at each stand. However pollen pool diversity was negatively associated with vegetative structure measured as total forest tree density. Our findings indicated that on going pollen movement within continuous forest is relatively restricted as a result of both isolation by distance and vegetative structure. 
1422:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Population genetics theory is primarily based on mathematical models in which spatial complexity and temporal variability are largely ignored. In contrast the field of landscape genetics expressly focuses on how population genetic processes are affected by complex spatial and temporal environmental heterogeneity. It is spatially explicit and relates patterns to processes by combining complex and realistic life histories behaviours landscape features and genetic data. Central to landscape genetics is the connection of spatial patterns of genetic variation to the usually highly stochastic space time processes that create them over both historical and contemporary time periods. The field should benefit from a shift to computer simulation approaches which enable incorporation of demographic and environmental stochasticity. A key role of simulations is to show how demographic processes such as dispersal or reproduction interact with landscape features to affect probability of site occupancy population size and gene flow which in turn determine spatial genetic structure. Simulations could also be used to compare various statistical methods and determine which have correct type I error or the highest statistical power to correctly identify spatio temporal and environmental effects. Simulations may also help in evaluating how specific spatial metrics may be used to project future genetic trends. This article summarizes some of the fundamental aspects of spatial temporal population genetic processes. It discusses the potential use of simulations to determine how various spatial metrics can be rigorously employed to identify features of interest including contrasting locus specific spatial patterns due to micro scale environmental selection. 
1424:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Although many properties of spatial autocorrelation statistics are well characterized virtually nothing is known about possible correlations among values at different spatial scales which ultimately would influence how inferences about spatial genetics are made at multiple spatial scales. This article reports the results of stochastic space time simulations of isolation by distance processes having a very wide range of amounts of dispersal for plants or animals and analyses of the correlations among Morans I statistics for different mutually exclusive distance classes. In general the stochastic correlations are extremely large (  0.90); however the correlations bear a complex relationship with level of dispersal spatial scale and spatial lag between distance classes. The correlations are so large that any existing or conceived statistical method that employs more than one distance class (or spatial scale) should not ignore them. This result also suggests that gains in statistical power via increasing sample size are limited and that increasing numbers of assayed loci generally should be preferred. To the extent that sampling error for real data sets can be treated as white noise it should be possible to account for stochastic correlations in formulating more precise statistical methods. Further while the current results are for isolation by distance processes they provide some guidance for some more complex stochastic space time processes of landscape genetics. Moreover the results hold for several popular measures other than Morans I. In addition in the results the signal to noise ratios strongly decreased with distance which also has several implications for optimal statistical methods using correlations at multiple spatial scales. 
